Source path,Class name,Simple name,Asset type,Description,Fields
rewrite-go/src/main/java/org/openrewrite/golang/rpc/InstallRecipesResponse.java,org.openrewrite.golang.rpc.InstallRecipesResponse,InstallRecipesResponse,DTO,"DTO install recipes response with fields: recipesInstalled, version","recipesInstalled, version"
rewrite-docker/src/test/java/org/openrewrite/docker/LocalDockerParser.java,org.openrewrite.docker.LocalDockerParser$ParseResult,ParseResult,Record,"Record parse result with fields: parsedFiles, parsedErrors","parsedFiles, parsedErrors"
rewrite-docker/src/test/java/org/openrewrite/docker/internal/EolImageDataGenerator.java,org.openrewrite.docker.internal.EolImageDataGenerator$TrackedProduct,TrackedProduct,Record,"Record tracked product with fields: imageName, apiProduct, tagStyle, replacementStrategy, comment","imageName, apiProduct, tagStyle, replacementStrategy, comment"
rewrite-docker/src/test/java/org/openrewrite/docker/internal/EolImageDataGenerator.java,org.openrewrite.docker.internal.EolImageDataGenerator$VersionInfo,VersionInfo,Record,"Record version info with fields: cycle, eolDate, isEol, isLts","cycle, eolDate, isEol, isLts"
rewrite-csharp/src/main/java/org/openrewrite/csharp/rpc/InstallRecipesResponse.java,org.openrewrite.csharp.rpc.InstallRecipesResponse,InstallRecipesResponse,DTO,"DTO install recipes response with fields: recipesInstalled, version","recipesInstalled, version"
rewrite-csharp/src/main/java/org/openrewrite/csharp/rpc/ParseSolutionResponse.java,org.openrewrite.csharp.rpc.ParseSolutionResponse,ParseSolutionResponse,DTO,DTO parse solution response with fields: items,items
rewrite-core/src/main/java/org/openrewrite/ipc/http/HttpSender.java,org.openrewrite.ipc.http.HttpSender$Request,Request,DTO,"DTO request with fields: url, entity, method, requestHeaders, connectTimeout and 1 more","url, entity, method, requestHeaders, connectTimeout, readTimeout"
rewrite-core/src/main/java/org/openrewrite/ipc/http/HttpSender.java,org.openrewrite.ipc.http.HttpSender$Response,Response,DTO,"DTO response with fields: code, body, headers, onClose","code, body, headers, onClose"
rewrite-core/src/main/java/org/openrewrite/marker/CommitMessage.java,org.openrewrite.marker.CommitMessage,CommitMessage,DTO,"DTO commit message with fields: id, recipeName, message","id, recipeName, message"
rewrite-core/src/main/java/org/openrewrite/rpc/request/BatchVisitResponse.java,org.openrewrite.rpc.request.BatchVisitResponse,BatchVisitResponse,DTO,DTO batch visit response with fields: results,results
rewrite-core/src/main/java/org/openrewrite/rpc/request/GenerateResponse.java,org.openrewrite.rpc.request.GenerateResponse,GenerateResponse,DTO,"DTO generate response with fields: ids, sourceFileTypes","ids, sourceFileTypes"
rewrite-core/src/main/java/org/openrewrite/rpc/request/GetMarketplaceResponse.java,org.openrewrite.rpc.request.GetMarketplaceResponse,GetMarketplaceResponse,DTO,DTO get marketplace response,
rewrite-core/src/main/java/org/openrewrite/rpc/request/GetObjectResponse.java,org.openrewrite.rpc.request.GetObjectResponse,GetObjectResponse,DTO,DTO get object response,
rewrite-core/src/main/java/org/openrewrite/rpc/request/ParseResponse.java,org.openrewrite.rpc.request.ParseResponse,ParseResponse,DTO,DTO parse response,
rewrite-core/src/main/java/org/openrewrite/rpc/request/PrepareRecipeResponse.java,org.openrewrite.rpc.request.PrepareRecipeResponse,PrepareRecipeResponse,DTO,"DTO prepare recipe response with fields: id, descriptor, editVisitor, editPreconditions, scanVisitor and 2 more","id, descriptor, editVisitor, editPreconditions, scanVisitor, scanPreconditions, delegatesTo"
rewrite-core/src/main/java/org/openrewrite/rpc/request/RpcRequest.java,org.openrewrite.rpc.request.RpcRequest,RpcRequest,DTO,DTO rpc request,
rewrite-core/src/main/java/org/openrewrite/rpc/request/VisitResponse.java,org.openrewrite.rpc.request.VisitResponse,VisitResponse,DTO,DTO visit response with fields: modified,modified
rewrite-core/src/test/java/org/openrewrite/RecipeSchedulerTest.java,org.openrewrite.RecipeWritingToFile$Accumulator,Accumulator,Record,Record accumulator with fields: workingDirectory,workingDirectory
rewrite-python/src/main/java/org/openrewrite/python/rpc/InstallRecipesResponse.java,org.openrewrite.python.rpc.InstallRecipesResponse,InstallRecipesResponse,DTO,"DTO install recipes response with fields: recipesInstalled, version, recipes","recipesInstalled, version, recipes"
rewrite-python/src/main/java/org/openrewrite/python/rpc/ParseProjectResponse.java,org.openrewrite.python.rpc.ParseProjectResponse,ParseProjectResponse,DTO,DTO parse project response,
rewrite-protobuf/src/main/java/org/openrewrite/protobuf/tree/Proto.java,org.openrewrite.protobuf.tree.Proto$Message,Message,DTO,"DTO message with fields: id, prefix, markers, name, body","id, prefix, markers, name, body"
rewrite-javascript/src/main/java/org/openrewrite/javascript/rpc/InstallRecipesResponse.java,org.openrewrite.javascript.rpc.InstallRecipesResponse,InstallRecipesResponse,DTO,"DTO install recipes response with fields: recipesInstalled, version","recipesInstalled, version"
rewrite-javascript/src/main/java/org/openrewrite/javascript/rpc/ParseProjectResponse.java,org.openrewrite.javascript.rpc.ParseProjectResponse,ParseProjectResponse,DTO,DTO parse project response,
rewrite-javascript/src/main/java/org/openrewrite/javascript/tree/JS.java,org.openrewrite.javascript.tree.JS$TypeQuery,TypeQuery,DTO,"DTO type query with fields: padding, id, prefix, markers, typeExpression and 2 more","padding, id, prefix, markers, typeExpression, typeArguments, type"
