ecosystem,packageName,name,displayName,description,recipeCount,category1,options
maven,org.openrewrite:rewrite-toml,org.openrewrite.toml.ChangeKey,Change TOML key,"Change a TOML key, while leaving the value intact.",1,Toml,"[{""name"":""oldKeyPath"",""type"":""String"",""displayName"":""Old key path"",""description"":""A TOML path expression to locate a key."",""example"":""package.name"",""required"":true},{""name"":""newKey"",""type"":""String"",""displayName"":""New key"",""description"":""The new name for the key."",""example"":""project-name"",""required"":true}]"
maven,org.openrewrite:rewrite-toml,org.openrewrite.toml.ChangeTableRowValue,Change TOML table row value,Change a value in a TOML table row when the identifying property matches the specified matcher.,1,Toml,"[{""name"":""tableName"",""type"":""String"",""displayName"":""Table name"",""description"":""The name of the TOML array table containing the row to update."",""example"":""package.contributors"",""required"":true},{""name"":""identifyingKey"",""type"":""String"",""displayName"":""Identifying key"",""description"":""The key within a table row to match on."",""example"":""name"",""required"":true},{""name"":""identifyingValue"",""type"":""String"",""displayName"":""Identifying value"",""description"":""The value to match. Can be a regular expression if useRegex is true."",""example"":""Alice Smith"",""required"":true},{""name"":""useRegex"",""type"":""Boolean"",""displayName"":""Use regex"",""description"":""Whether to interpret the identifying value as a regular expression. Default is false.""},{""name"":""propertyKey"",""type"":""String"",""displayName"":""Property key"",""description"":""The key of the property to update within the matched row."",""example"":""email"",""required"":true},{""name"":""newValue"",""type"":""String"",""displayName"":""New value"",""description"":""The new value to set for the property. If null, the property will be removed."",""example"":""\""alice.new@example.com\""""}]"
maven,org.openrewrite:rewrite-toml,org.openrewrite.toml.ChangeValue,Change TOML value,Change the value of a TOML key.,1,Toml,"[{""name"":""keyPath"",""type"":""String"",""displayName"":""Key path"",""description"":""A TOML path expression to locate a key."",""example"":""package.version"",""required"":true},{""name"":""newValue"",""type"":""String"",""displayName"":""New value"",""description"":""The new value for the key."",""example"":""\""2.0.0\"""",""required"":true}]"
maven,org.openrewrite:rewrite-toml,org.openrewrite.toml.DeleteKey,Delete TOML key,Delete a TOML key-value pair.,1,Toml,"[{""name"":""keyPath"",""type"":""String"",""displayName"":""Key path"",""description"":""A TOML path expression to locate a key."",""example"":""package.keywords"",""required"":true}]"
maven,org.openrewrite:rewrite-toml,org.openrewrite.toml.DeleteTable,Delete TOML table,Delete a TOML table.,1,Toml,"[{""name"":""tableName"",""type"":""String"",""displayName"":""Table name"",""description"":""The name of the TOML table to delete."",""example"":""dependencies"",""required"":true}]"
maven,org.openrewrite:rewrite-toml,org.openrewrite.toml.DeleteTableRow,Delete TOML table row,Delete a TOML table row when one of its values matches the specified matcher.,1,Toml,"[{""name"":""tableName"",""type"":""String"",""displayName"":""Table name"",""description"":""The name of the TOML array table to delete (e.g., 'package.contributors')."",""example"":""package.contributors"",""required"":true},{""name"":""identifyingKey"",""type"":""String"",""displayName"":""Key"",""description"":""The key within a table row to match on."",""example"":""name"",""required"":true},{""name"":""identifyingValue"",""type"":""String"",""displayName"":""Value"",""description"":""The value to match. Can be a regular expression if useRegex is true."",""example"":""example-*"",""required"":true},{""name"":""useRegex"",""type"":""Boolean"",""displayName"":""Use regex"",""description"":""Whether to interpret the value as a regular expression. Default is false.""}]"
maven,org.openrewrite:rewrite-toml,org.openrewrite.toml.FindKey,Find TOML keys,Find TOML keys matching a path expression.,1,Toml,"[{""name"":""keyPath"",""type"":""String"",""displayName"":""Key path"",""description"":""A TOML path expression to locate keys. Wildcards are supported."",""example"":""**.name"",""required"":true}]"
maven,org.openrewrite:rewrite-toml,org.openrewrite.toml.MergeTableRow,Merge TOML table row,"Merge a TOML row into an array table. If a row with the same identifying property exists, merge the values. Otherwise, insert a new row.",1,Toml,"[{""name"":""tableName"",""type"":""String"",""displayName"":""Table name"",""description"":""The name of the TOML array table to merge into (e.g., 'package.contributors')."",""example"":""package.contributors"",""required"":true},{""name"":""row"",""type"":""String"",""displayName"":""TOML row snippet"",""description"":""The TOML key-value pairs to merge. Should contain the objectIdentifyingProperty."",""example"":""name = \""Alice Smith\""\\nemail = \""alice@example.com\"""",""required"":true},{""name"":""identifyingKey"",""type"":""String"",""displayName"":""Object identifying property"",""description"":""The property name used to match existing rows. When a row with this property value exists, it will be merged; otherwise, a new row is inserted. When the original row has more properties than the incoming row, these original properties are preserved. Entries with null values in the incoming row will result in the removal of the property from the original row."",""example"":""name"",""required"":true}]"
maven,org.openrewrite:rewrite-toml,org.openrewrite.toml.ReplaceTableRow,Replace TOML table row,"Replace a TOML table row with new content. If a row with the same identifying property exists, replace it entirely.",1,Toml,"[{""name"":""tableName"",""type"":""String"",""displayName"":""Table name"",""description"":""The name of the TOML array table to replace rows in (e.g., 'package.contributors')."",""example"":""package.contributors"",""required"":true},{""name"":""row"",""type"":""String"",""displayName"":""TOML row snippet"",""description"":""The TOML key-value pairs to replace with. Should contain the objectIdentifyingProperty."",""example"":""name = \""Alice Smith\""\\nemail = \""alice@example.com\"""",""required"":true},{""name"":""identifyingKey"",""type"":""String"",""displayName"":""Object identifying property"",""description"":""The property name used to match existing rows. When a row with this property value exists, it will be replaced; otherwise, a new row will not be inserted (see MergeTableRow)."",""example"":""name"",""required"":true}]"
maven,org.openrewrite:rewrite-toml,org.openrewrite.toml.CreateTomlFile,Create TOML file,Create a new TOML file.,1,Toml,"[{""name"":""relativeFileName"",""type"":""String"",""displayName"":""Relative file path"",""description"":""File path of the new file."",""example"":""pyproject.toml"",""required"":true},{""name"":""fileContents"",""type"":""String"",""displayName"":""File contents"",""description"":""Multiline text content for the file."",""example"":""[tool.poetry]\nname = \""my-project\""\nversion = \""0.1.0\""""},{""name"":""fileContentsUrl"",""type"":""String"",""displayName"":""File contents URL"",""description"":""URL to fetch the TOML file contents from a remote source."",""example"":""https://raw.githubusercontent.com/example/repo/main/pyproject.toml""},{""name"":""overwriteExisting"",""type"":""Boolean"",""displayName"":""Overwrite existing file"",""description"":""If there is an existing file, should it be overwritten?""}]"
